Zeit,Kanal A,Kanal B
(ms),(V),(V)

-8.85224568,0.03051851,0.00000000
-8.84968568,0.02807703,0.00000000
-8.84712568,0.02807703,0.00000000
-8.84456568,0.03051851,0.00000000
-8.84200568,0.03051851,0.00000000
-8.83944568,0.03051851,0.00000000
-8.83688568,0.02807703,0.00000000
-8.83432568,0.02807703,0.00000000
-8.83176568,0.02502518,0.00000000
-8.82920568,0.02258370,0.00000000
-8.82664568,0.02258370,0.00000000
-8.82408568,0.02258370,0.00000000
-8.82152568,0.02258370,0.00000000
-8.81896568,0.02258370,0.00000000
-8.81640568,0.02258370,0.00000000
-8.81384568,0.02258370,0.00000000
-8.81128568,0.02258370,0.00000000
-8.80872568,0.02258370,0.00000000
-8.80616568,0.02502518,0.00000000
-8.80360568,0.02502518,0.00000000
-8.80104568,0.02502518,0.00000000
-8.79848568,0.02807703,0.00000000
-8.79592568,0.02807703,0.00000000
-8.79336568,0.03051851,0.00000000
-8.79080568,0.02807703,0.00000000
-8.78824568,0.02502518,0.00000000
-8.78568568,0.02502518,0.00000000
-8.78312568,0.02502518,0.00000000
-8.78056568,0.02502518,0.00000000
-8.77800568,0.02258370,0.00000000
-8.77544568,0.02502518,0.00000000
-8.77288568,0.02258370,0.00000000
-8.77032568,0.01953185,0.00000000
-8.76776568,0.02258370,0.00000000
-8.76520568,0.02258370,0.00000000
-8.76264568,0.02258370,0.00000000
-8.76008568,0.01953185,0.00000000
-8.75752568,0.01953185,0.00000000
-8.75496568,0.01953185,0.00000000
-8.75240568,0.02258370,0.00000000
-8.74984568,0.02502518,0.00000000
-8.74728568,0.02502518,0.00000000
-8.74472568,0.02258370,0.00000000
-8.74216568,0.02258370,0.00000000
-8.73960568,0.01953185,0.00000000
-8.73704568,0.01953185,0.00000000
-8.73448568,0.01953185,0.00000000
-8.73192568,0.02258370,0.00000000
-8.72936568,0.02258370,0.00000000
-8.72680568,0.02258370,0.00000000
-8.72424568,0.01953185,0.00000000
-8.72168568,0.01648000,0.00000000
-8.71912568,0.01648000,0.00000000
-8.71656568,0.01953185,0.00000000
-8.71400568,0.01953185,0.00000000
-8.71144568,0.01953185,0.00000000
-8.70888568,0.01953185,0.00000000
-8.70632568,0.01953185,0.00000000
-8.70376568,0.01953185,0.00000000
-8.70120568,0.01953185,0.00000000
-8.69864568,0.01648000,0.00000000
-8.69608568,0.01403851,0.00000000
-8.69352568,0.01403851,0.00000000
